file,kappa_mean,kappa_median,exact_mean_%,adjacent_mean_%,mae_dim_mean,rho_total,mae_total,n_dimensions_evaluated
results/evaluations_active.csv,0.127522946,0.034047528,80.11456628,96.45390071,0.23431533,0.42281692,5.448717949,46
results/evaluations_active_cs_by_chapter.csv,0.102433671,0.059603236,71.76759411,96.2629569,0.31969449,0.413298681,9.179487179,46
results/evaluations_cot.csv,0.153482874,0.130235209,76.56846699,96.45390071,0.269776323,0.442778799,6.08974359,46
results/evaluations_cot_by_chapter.csv,0.09496265,0.035691871,71.03109656,96.01745772,0.329514457,0.338644502,9.846153846,46
results/evaluations_critique.csv,0.109425155,0.026836052,76.54118931,96.34478996,0.271140207,0.428526436,6.358974359,46
results/evaluations_critique_by_chapter.csv,0.098425799,0.02675762,70.70376432,96.2629569,0.330332788,0.364289396,10.01282051,46
results/evaluations_decomposed.csv,0.140492771,0.089941026,78.45062739,96.31751227,0.252318603,0.3649065,5.115384615,46
results/evaluations_decomposed_by_chapter.csv,0.100378499,0.045605959,73.78614294,95.77195854,0.304418985,0.400896804,8.333333333,46
results/evaluations_deliberative.csv,0.133587721,0.068547255,77.98690671,96.42662302,0.255864703,0.460121884,5.641025641,46
results/evaluations_deliberative_by_chapter.csv,0.087537453,0.039359728,70.64920895,95.90834697,0.334424441,0.446579865,9.58974359,46
results/evaluations_few.csv,0.143081104,0.113111204,77.65957447,97.27223131,0.250681942,0.3848382,8.141025641,46
results/evaluations_few_by_chapter.csv,0.112016602,0.089051095,68.54882706,93.91707583,0.375340971,0.350290274,12,47
results/evaluations_instructions.csv,0.15103197,0.071497901,79.56901255,96.18112384,0.242498636,0.459844941,5.243589744,46
results/evaluations_instructions_by_chapter.csv,0.096705791,0.044998407,73.04964539,96.18112384,0.307692308,0.420490461,8.641025641,46
results/evaluations_react.csv,0.142029859,0.044476922,80.16912166,96.2629569,0.235679214,0.32330396,6.564102564,46
results/evaluations_react_by_chapter.csv,0.104179545,0.032931328,77.00490998,96.53573377,0.264593562,0.249262275,7.230769231,46
results/evaluations_sc.csv,0.131224788,0.051852863,80.03273322,96.34478996,0.236224768,0.413273309,5.641025641,46
results/evaluations_sc_by_chapter.csv,0.113273607,0.062318841,79.35079105,96.72667758,0.239225314,0.329278315,5.807692308,46
results/evaluations_zero.csv,0.074820224,0,76.40480087,96.07201309,0.27523186,0.3211336,4.5,45
results/evaluations_zero_by_chapter.csv,0.06603604,0,71.93126023,96.23567921,0.318330606,0.275125789,6.551282051,46
