file,delta,error_type,direction
evaluations_active.csv,1,minor,over
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,1,minor,over
evaluations_active.csv,0,exact,none
evaluations_active.csv,-1,minor,under
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,-1,minor,under
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,1,minor,over
evaluations_active.csv,1,minor,over
evaluations_active.csv,0,exact,none
evaluations_active.csv,-1,minor,under
evaluations_active.csv,0,exact,none
evaluations_active.csv,-1,minor,under
evaluations_active.csv,1,minor,over
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,-1,minor,under
evaluations_active.csv,0,exact,none
evaluations_active.csv,-1,minor,under
evaluations_active.csv,0,exact,none
evaluations_active.csv,-1,minor,under
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,-1,minor,under
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,-1,minor,under
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,-1,minor,under
evaluations_active.csv,-1,minor,under
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,1,minor,over
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
evaluations_active.csv,1,minor,over
evaluations_active.csv,1,minor,over
evaluations_active.csv,0,exact,none
evaluations_active.csv,0,exact,none
