dimension,n_pairs,kappa_w_quad,alpha_ordinal,exact_%,adjacent_%
Aktiv i pasiv,20,,,100.0,100.0
Argumentacija,20,0.6875,0.6830427892234547,90.0,95.0
Argumentacija odabranog rešenja,20,0.9315068493150684,0.9312714776632303,90.0,100.0
Bespotrebni detalji,20,-0.0714285714285714,-0.08108108108108092,85.0,100.0
Definisani koncepti,20,0.8275862068965517,0.8268398268398268,95.0,100.0
Diskusija o rezultatima,20,0.8571428571428572,0.8566308243727598,95.0,100.0
Dovoljno detalja,20,1.0,1.0,100.0,100.0
Finalni paragraf,20,0.75,0.7494780793319415,85.0,100.0
Gramatika i pravopis,20,0.8936170212765957,0.8933333333333333,95.0,100.0
Inicijalno predstavljanje strukture sistema,20,,,100.0,100.0
Interpunkcija,20,1.0,1.0,100.0,100.0
Jasnoća rečenica,20,1.0,1.0,100.0,100.0
Konciznost,20,,,100.0,100.0
Konciznost paragrafa,20,-0.05263157894736836,-0.05263157894736836,90.0,100.0
Konciznost rečenice,20,1.0,1.0,100.0,100.0
Konzistentnost,20,,,100.0,100.0
Korišćenje ličnih zamenica,20,1.0,1.0,100.0,100.0
Korišćenje vremena,20,0.7727272727272727,0.7714285714285714,95.0,100.0
Nekonciznost,20,0.6153846153846154,0.607843137254902,90.0,100.0
Odnos teksta i teme rada,20,,,100.0,100.0
Opis drugačijih rešenja,20,0.89501312335958,0.8947368421052632,95.0,95.0
Opis fokusa rada,20,1.0,1.0,100.0,100.0
Opis koncepata rešenja,20,1.0,1.0,100.0,100.0
Opis koristi rešenja,20,1.0,1.0,100.0,100.0
Opis problema domena,20,,,100.0,100.0
Opis rešenja koncepata,20,,,100.0,100.0
Opis rešenja na opštijem nivou,20,1.0,1.0,100.0,100.0
Opis svake celine strukture rešenja,20,0.0,-0.05263157894736836,90.0,100.0
Organizacija paragrafa,20,0.6428571428571428,0.6396396396396397,95.0,100.0
Osnovni koncepti,20,,,100.0,100.0
Pozicioniranje užeg problema u širem kontekstu,20,0.7727272727272727,0.7714285714285714,95.0,100.0
Početak rečenice,20,,,100.0,100.0
Preciznost,20,,,100.0,100.0
Problem,20,0.7727272727272727,0.7714285714285714,95.0,95.0
Repetitivnost,20,0.0,-0.05263157894736836,90.0,100.0
Sadržaj rečenice,20,0.7826086956521738,0.7802197802197802,90.0,100.0
Skraćenice,20,,,100.0,100.0
Strane reči,20,1.0,1.0,100.0,100.0
Struktura opisa rezultata,20,0.8717948717948718,0.8713826366559485,95.0,100.0
Teorijske osnove,20,0.9253731343283582,0.9252336448598131,95.0,100.0
Visok nivo apstrakcije,20,0.6875,0.6875,90.0,100.0
Višak koncepata,20,-0.05263157894736836,-0.05263157894736836,90.0,100.0
Vreme pisanja,20,0.962962962962963,0.9629286376274329,95.0,100.0
Zahtevi,20,0.6428571428571428,0.6428571428571428,90.0,100.0
Zarezi,20,1.0,1.0,100.0,100.0
Značaj rešenja,20,0.0,-0.025641025641025772,95.0,100.0
Širi problem,20,1.0,1.0,100.0,100.0
